body_id,graph_index,type,class,superclass,instance,root_side,soma_side,entry_nerve,exit_nerve,subclass,receptor_type_annotation,flywire_type_annotation,status_label,transmitter,candidate_receptor,candidate_sensillum_neuron,benton_ev1_row,binding_status
10331,306,MN9,,cb_motor,MN9_L,,L,,PhN,pm,,CB0701,Roughly traced,acetylcholine,,,,anatomy_candidate_only_not_a_calibrated_stimulus
10390,360,VA2_adPN,ALPN,cb_intrinsic,VA2_adPN_R,,R,,,,,VA2_adPN,Prelim Roughly traced,acetylcholine,,,,anatomy_candidate_only_not_a_calibrated_stimulus
10561,522,VA2_adPN,ALPN,cb_intrinsic,VA2_adPN_L,,L,,,,,VA2_adPN,Prelim Roughly traced,acetylcholine,,,,anatomy_candidate_only_not_a_calibrated_stimulus
16949,6367,MN9,,cb_motor,MN9_R,,R,,PhN,pm,,CB0701,RT Hard to trace,acetylcholine,,,,anatomy_candidate_only_not_a_calibrated_stimulus
18147,7438,ORN_VA2,olfactory,cb_sensory,ORN_VA2_R,R,,AN,,,,ORN_VA2,Prelim Roughly traced,acetylcholine,Or92a,ab1B,15,anatomy_candidate_only_not_a_calibrated_stimulus
18416,7679,DA2_lPN,ALPN,cb_intrinsic,DA2_lPN_R,,R,,,,,DA2_lPN,Roughly traced,acetylcholine,,,,anatomy_candidate_only_not_a_calibrated_stimulus
18776,8001,DA2_lPN,ALPN,cb_intrinsic,DA2_lPN_L,,L,,,,,DA2_lPN,Roughly traced,acetylcholine,,,,anatomy_candidate_only_not_a_calibrated_stimulus
19339,8504,DA2_lPN,ALPN,cb_intrinsic,DA2_lPN_L,,L,,,,,DA2_lPN,Roughly traced,acetylcholine,,,,anatomy_candidate_only_not_a_calibrated_stimulus
20105,9188,DA2_lPN,ALPN,cb_intrinsic,DA2_lPN_L,,L,,,,,DA2_lPN,Roughly traced,acetylcholine,,,,anatomy_candidate_only_not_a_calibrated_stimulus
20311,9370,DA2_lPN,ALPN,cb_intrinsic,DA2_lPN_R,,R,,,,,DA2_lPN,Roughly traced,acetylcholine,,,,anatomy_candidate_only_not_a_calibrated_stimulus
20995,9975,DA2_lPN,ALPN,cb_intrinsic,DA2_lPN_L,,L,,,,,DA2_lPN,Roughly traced,acetylcholine,,,,anatomy_candidate_only_not_a_calibrated_stimulus
21876,10769,DA2_lPN,ALPN,cb_intrinsic,DA2_lPN_R,,R,,,,,DA2_lPN,Roughly traced,acetylcholine,,,,anatomy_candidate_only_not_a_calibrated_stimulus
23958,12644,DA2_lPN,ALPN,cb_intrinsic,DA2_lPN_R,,R,,,,,DA2_lPN,Roughly traced,acetylcholine,,,,anatomy_candidate_only_not_a_calibrated_stimulus
26423,14839,DA2_lPN,ALPN,cb_intrinsic,DA2_lPN_L,,L,,,,,DA2_lPN,Roughly traced,acetylcholine,,,,anatomy_candidate_only_not_a_calibrated_stimulus
33339,20948,LB3d,gustatory,cb_sensory,LB3d_R,R,,MxLbN,,labellar bristle,,LB3,Prelim Roughly traced,acetylcholine,,,,anatomy_candidate_only_not_a_calibrated_stimulus
34301,21802,DA2_lPN,ALPN,cb_intrinsic,DA2_lPN_R,,R,,,,,DA2_lPN,Roughly traced,acetylcholine,,,,anatomy_candidate_only_not_a_calibrated_stimulus
44816,31084,LB1e,gustatory,cb_sensory,LB1e_R,R,,MxLbN,,labellar bristle,,LB1e,Prelim Roughly traced,acetylcholine,,,,anatomy_candidate_only_not_a_calibrated_stimulus
54104,39104,LB1d,gustatory,cb_sensory,LB1d_L,L,,MxLbN,,labellar bristle,,"LB1a,LB1d",Prelim Roughly traced,acetylcholine,,,,anatomy_candidate_only_not_a_calibrated_stimulus
60498,44502,ORN_DM1,olfactory,cb_sensory,ORN_DM1_R,R,,AN,,,,ORN_DM1,Prelim Roughly traced,acetylcholine,Or42b,ab1A,14,anatomy_candidate_only_not_a_calibrated_stimulus
71254,53327,LB3b,gustatory,cb_sensory,LB3b_L,L,,MxLbN,,labellar bristle,,LB3,Prelim Roughly traced,acetylcholine,,,,anatomy_candidate_only_not_a_calibrated_stimulus
72047,53975,LB4b,gustatory,cb_sensory,LB4b_R,R,,MxLbN,,labellar bristle,,LB3,Prelim Roughly traced,acetylcholine,,,,anatomy_candidate_only_not_a_calibrated_stimulus
72059,53985,LB3c,gustatory,cb_sensory,LB3c_R,R,,MxLbN,,labellar bristle,,LB3,Prelim Roughly traced,acetylcholine,,,,anatomy_candidate_only_not_a_calibrated_stimulus
75421,56673,ORN_VA2,olfactory,cb_sensory,ORN_VA2_R,R,,AN,,,,ORN_VA2,Prelim Roughly traced,acetylcholine,Or92a,ab1B,15,anatomy_candidate_only_not_a_calibrated_stimulus
77868,58651,LB2a,gustatory,cb_sensory,LB2a_L,L,,MxLbN,,labellar bristle,,LB2a-b,Prelim Roughly traced,acetylcholine,,,,anatomy_candidate_only_not_a_calibrated_stimulus
