route,csr_edge_index,pre_body_id,post_body_id,contacts
ORN_VA2->VA2_adPN,4002633,18147,10390,117
ORN_VA2->VA2_adPN,4002637,18147,10561,82
ORN_VA2->VA2_adPN,12874753,75421,10390,119
ORN_VA2->VA2_adPN,12874758,75421,10561,106
ORN_VA2->VA2_adPN,16524181,120627,10390,104
ORN_VA2->VA2_adPN,16524185,120627,10561,92
ORN_VA2->VA2_adPN,17364684,135957,10390,111
ORN_VA2->VA2_adPN,17364689,135957,10561,80
ORN_VA2->VA2_adPN,17452049,137788,10390,106
ORN_VA2->VA2_adPN,17452054,137788,10561,75
ORN_VA2->VA2_adPN,17482706,138423,10390,71
ORN_VA2->VA2_adPN,17482711,138423,10561,105
ORN_VA2->VA2_adPN,17613791,141308,10390,105
ORN_VA2->VA2_adPN,17613797,141308,10561,74
ORN_VA2->VA2_adPN,17628895,141661,10390,89
ORN_VA2->VA2_adPN,17628899,141661,10561,113
ORN_VA2->VA2_adPN,17684576,142962,10390,97
ORN_VA2->VA2_adPN,17684581,142962,10561,91
ORN_VA2->VA2_adPN,17780619,145253,10390,128
ORN_VA2->VA2_adPN,17780625,145253,10561,92
ORN_VA2->VA2_adPN,17805392,145847,10390,102
ORN_VA2->VA2_adPN,17901532,148445,10390,82
ORN_VA2->VA2_adPN,17901537,148445,10561,107
ORN_VA2->VA2_adPN,18081602,153849,10390,93
ORN_VA2->VA2_adPN,18081607,153849,10561,94
ORN_VA2->VA2_adPN,18097960,154416,10390,105
ORN_VA2->VA2_adPN,18097966,154416,10561,95
ORN_VA2->VA2_adPN,18147886,156151,10390,113
ORN_VA2->VA2_adPN,18147890,156151,10561,72
ORN_VA2->VA2_adPN,18213171,158617,10390,60
ORN_VA2->VA2_adPN,18213177,158617,10561,89
ORN_VA2->VA2_adPN,18214113,158649,10390,154
ORN_VA2->VA2_adPN,18214117,158649,10561,69
ORN_VA2->VA2_adPN,18236559,159524,10390,112
ORN_VA2->VA2_adPN,18236565,159524,10561,98
ORN_VA2->VA2_adPN,18314697,162635,10390,115
ORN_VA2->VA2_adPN,18314704,162635,10561,87
ORN_VA2->VA2_adPN,18338096,163657,10390,87
ORN_VA2->VA2_adPN,18338100,163657,10561,73
ORN_VA2->VA2_adPN,18352225,164269,10390,103
ORN_VA2->VA2_adPN,18352229,164269,10561,69
ORN_VA2->VA2_adPN,18354386,164384,10390,104
ORN_VA2->VA2_adPN,18354392,164384,10561,72
ORN_VA2->VA2_adPN,18376407,165341,10390,108
ORN_VA2->VA2_adPN,18376411,165341,10561,90
ORN_VA2->VA2_adPN,18456704,169187,10390,106
ORN_VA2->VA2_adPN,18456709,169187,10561,79
ORN_VA2->VA2_adPN,18461519,169422,10390,109
ORN_VA2->VA2_adPN,18461524,169422,10561,87
ORN_VA2->VA2_adPN,18478993,170322,10390,132
ORN_VA2->VA2_adPN,18478998,170322,10561,83
ORN_VA2->VA2_adPN,18487830,170735,10390,129
ORN_VA2->VA2_adPN,18487835,170735,10561,63
ORN_VA2->VA2_adPN,18491075,170950,10390,67
ORN_VA2->VA2_adPN,18491080,170950,10561,112
ORN_VA2->VA2_adPN,18542283,173912,10390,111
ORN_VA2->VA2_adPN,18542289,173912,10561,50
ORN_VA2->VA2_adPN,18549039,174237,10390,106
ORN_VA2->VA2_adPN,18549044,174237,10561,80
ORN_VA2->VA2_adPN,18621552,178532,10390,79
ORN_VA2->VA2_adPN,18621558,178532,10561,71
ORN_VA2->VA2_adPN,18640987,179786,10390,149
ORN_VA2->VA2_adPN,18640993,179786,10561,76
ORN_VA2->VA2_adPN,18651070,180465,10390,120
ORN_VA2->VA2_adPN,18651075,180465,10561,94
ORN_VA2->VA2_adPN,18655258,180771,10561,84
ORN_VA2->VA2_adPN,18700268,183973,10561,82
ORN_VA2->VA2_adPN,18707137,184468,10390,80
ORN_VA2->VA2_adPN,18707141,184468,10561,49
ORN_VA2->VA2_adPN,18710954,184729,10390,134
ORN_VA2->VA2_adPN,18710960,184729,10561,55
ORN_VA2->VA2_adPN,18729349,186029,10390,66
ORN_VA2->VA2_adPN,18731604,186200,10390,130
ORN_VA2->VA2_adPN,18731610,186200,10561,78
ORN_VA2->VA2_adPN,18752808,188007,10390,67
ORN_VA2->VA2_adPN,18752813,188007,10561,80
ORN_VA2->VA2_adPN,18771731,189355,10390,47
ORN_VA2->VA2_adPN,18792330,190954,10390,134
ORN_VA2->VA2_adPN,18792333,190954,10561,76
ORN_VA2->VA2_adPN,18813024,192555,10390,167
ORN_VA2->VA2_adPN,18813030,192555,10561,83
ORN_VA2->VA2_adPN,18839636,194874,10390,57
ORN_VA2->VA2_adPN,18839642,194874,10561,104
ORN_VA2->VA2_adPN,18876089,198139,10390,89
ORN_VA2->VA2_adPN,18876093,198139,10561,90
ORN_VA2->VA2_adPN,18890316,199488,10390,67
ORN_VA2->VA2_adPN,18890320,199488,10561,51
ORN_VA2->VA2_adPN,18918836,202321,10390,67
ORN_VA2->VA2_adPN,18918842,202321,10561,69
ORN_VA2->VA2_adPN,18940476,204881,10390,57
ORN_VA2->VA2_adPN,18951347,205907,10390,73
ORN_VA2->VA2_adPN,18951353,205907,10561,130
ORN_VA2->VA2_adPN,18987985,210853,10390,89
ORN_VA2->VA2_adPN,18987990,210853,10561,84
ORN_VA2->VA2_adPN,19001606,212914,10390,135
ORN_VA2->VA2_adPN,19001610,212914,10561,117
ORN_VA2->VA2_adPN,19013273,214857,10390,107
ORN_VA2->VA2_adPN,19013279,214857,10561,60
ORN_VA2->VA2_adPN,19013550,214895,10390,103
ORN_VA2->VA2_adPN,19076096,226401,10390,92
ORN_VA2->VA2_adPN,19104372,235199,10390,90
ORN_VA2->VA2_adPN,19138743,250249,10390,42
ORN_VA2->VA2_adPN,19146640,255283,10390,77
ORN_VA2->VA2_adPN,19146646,255283,10561,97
ORN_VA2->VA2_adPN,19147171,255865,10390,92
ORN_VA2->VA2_adPN,19147176,255865,10561,103
ORN_VA2->VA2_adPN,19179611,276359,10390,187
ORN_VA2->VA2_adPN,19179616,276359,10561,97
ORN_VA2->VA2_adPN,19217787,301799,10390,75
ORN_VA2->VA2_adPN,19217791,301799,10561,51
ORN_VA2->VA2_adPN,19225009,308608,10390,72
ORN_VA2->VA2_adPN,19225013,308608,10561,20
ORN_VA2->VA2_adPN,19258156,369074,10390,61
ORN_VA2->VA2_adPN,19258161,369074,10561,105
ORN_VA2->VA2_adPN,19274837,414342,10390,90
ORN_VA2->VA2_adPN,19274841,414342,10561,55
ORN_VA2->VA2_adPN,20461338,521420,10390,86
ORN_VA2->VA2_adPN,20461342,521420,10561,88
ORN_VA2->VA2_adPN,21880274,544744,10390,111
ORN_VA2->VA2_adPN,21880279,544744,10561,70
ORN_VA2->VA2_adPN,22060731,551689,10390,109
ORN_VA2->VA2_adPN,22060735,551689,10561,74
ORN_VA2->VA2_adPN,22134940,555881,10390,129
ORN_VA2->VA2_adPN,22134946,555881,10561,84
ORN_VA2->VA2_adPN,22232029,561669,10390,114
ORN_VA2->VA2_adPN,22232036,561669,10561,109
ORN_VA2->VA2_adPN,22273391,569249,10390,53
ORN_VA2->VA2_adPN,22273397,569249,10561,77
ORN_VA2->VA2_adPN,22277328,569993,10390,52
ORN_VA2->VA2_adPN,22277335,569993,10561,98
ORN_VA2->VA2_adPN,22277433,569995,10390,13
ORN_VA2->VA2_adPN,22277438,569995,10561,117
ORN_VA2->VA2_adPN,25393413,921954,10390,66
ORN_VA2->VA2_adPN,25402919,925375,10390,83
ORN_VA2->VA2_adPN,25402924,925375,10561,103
ORN_VA2->VA2_adPN,25403046,925376,10390,53
ORN_VA2->VA2_adPN,25403051,925376,10561,101
ORN_VA2->VA2_adPN,25404281,925694,10561,32
ORN_VA2->VA2_adPN,25493027,956071,10390,91
ORN_VA2->VA2_adPN,25493031,956071,10561,97
ORN_VA2->VA2_adPN,25507604,237355379,10561,114
ORN_VA2->VA2_adPN,25510193,282395216,10561,36
ORN_VA2->VA2_adPN,25521040,442779736,10390,64
ORN_VA2->VA2_adPN,25521045,442779736,10561,65
ORN_VA2->VA2_adPN,25530275,616971586,10561,20
ORN_VA2->VA2_adPN,25533888,676893250,10390,40
ORN_VA2->VA2_adPN,25534047,683472058,10561,18
ORN_VA2->VA2_adPN,25547910,907638584,10390,62
ORN_VA2->VA2_adPN,25547914,907638584,10561,83
ORN_DA2->DA2_lPN,18524880,172880,18416,9
ORN_DA2->DA2_lPN,18524882,172880,18776,10
ORN_DA2->DA2_lPN,18524884,172880,19339,14
ORN_DA2->DA2_lPN,18524885,172880,20105,10
ORN_DA2->DA2_lPN,18524886,172880,20311,7
ORN_DA2->DA2_lPN,18524889,172880,20995,10
ORN_DA2->DA2_lPN,18524890,172880,21876,22
ORN_DA2->DA2_lPN,18524891,172880,23958,20
ORN_DA2->DA2_lPN,18524894,172880,26423,11
ORN_DA2->DA2_lPN,18524899,172880,34301,14
ORN_DA2->DA2_lPN,18563282,174893,18416,20
ORN_DA2->DA2_lPN,18563284,174893,18776,21
ORN_DA2->DA2_lPN,18563286,174893,19339,11
ORN_DA2->DA2_lPN,18563288,174893,20105,3
ORN_DA2->DA2_lPN,18563289,174893,20311,11
ORN_DA2->DA2_lPN,18563292,174893,20995,4
ORN_DA2->DA2_lPN,18563293,174893,21876,10
ORN_DA2->DA2_lPN,18563296,174893,23958,9
ORN_DA2->DA2_lPN,18563299,174893,26423,7
ORN_DA2->DA2_lPN,18563304,174893,34301,13
ORN_DA2->DA2_lPN,18932210,203780,18416,16
ORN_DA2->DA2_lPN,18932212,203780,18776,24
ORN_DA2->DA2_lPN,18932215,203780,19339,7
ORN_DA2->DA2_lPN,18932216,203780,20105,6
ORN_DA2->DA2_lPN,18932217,203780,20311,24
ORN_DA2->DA2_lPN,18932221,203780,20995,18
ORN_DA2->DA2_lPN,18932222,203780,21876,12
ORN_DA2->DA2_lPN,18932225,203780,23958,21
ORN_DA2->DA2_lPN,18932227,203780,26423,11
ORN_DA2->DA2_lPN,18932231,203780,34301,12
ORN_DA2->DA2_lPN,18979984,209821,18416,13
ORN_DA2->DA2_lPN,18979986,209821,18776,12
ORN_DA2->DA2_lPN,18979988,209821,19339,13
ORN_DA2->DA2_lPN,18979989,209821,20105,20
ORN_DA2->DA2_lPN,18979990,209821,20311,24
ORN_DA2->DA2_lPN,18979994,209821,20995,17
ORN_DA2->DA2_lPN,18979995,209821,21876,10
ORN_DA2->DA2_lPN,18979997,209821,23958,12
ORN_DA2->DA2_lPN,18979999,209821,26423,11
ORN_DA2->DA2_lPN,18980003,209821,34301,18
ORN_DA2->DA2_lPN,19022497,215972,18416,41
ORN_DA2->DA2_lPN,19022499,215972,18776,7
ORN_DA2->DA2_lPN,19022501,215972,19339,11
ORN_DA2->DA2_lPN,19022502,215972,20105,8
ORN_DA2->DA2_lPN,19022503,215972,20311,25
ORN_DA2->DA2_lPN,19022507,215972,20995,10
ORN_DA2->DA2_lPN,19022508,215972,21876,36
ORN_DA2->DA2_lPN,19022510,215972,23958,12
ORN_DA2->DA2_lPN,19022513,215972,26423,6
ORN_DA2->DA2_lPN,19022519,215972,34301,17
ORN_DA2->DA2_lPN,19033606,218171,18776,27
ORN_DA2->DA2_lPN,19033607,218171,19339,21
ORN_DA2->DA2_lPN,19033608,218171,20105,12
ORN_DA2->DA2_lPN,19033612,218171,20995,10
ORN_DA2->DA2_lPN,19033614,218171,26423,20
ORN_DA2->DA2_lPN,19036691,218595,18416,3
ORN_DA2->DA2_lPN,19036693,218595,20311,43
ORN_DA2->DA2_lPN,19036694,218595,21876,15
ORN_DA2->DA2_lPN,19036696,218595,23958,11
ORN_DA2->DA2_lPN,19036702,218595,34301,16
ORN_DA2->DA2_lPN,19044008,220042,18416,18
ORN_DA2->DA2_lPN,19044011,220042,18776,13
ORN_DA2->DA2_lPN,19044012,220042,19339,4
ORN_DA2->DA2_lPN,19044014,220042,20105,14
ORN_DA2->DA2_lPN,19044015,220042,20311,15
ORN_DA2->DA2_lPN,19044019,220042,20995,14
ORN_DA2->DA2_lPN,19044020,220042,21876,21
ORN_DA2->DA2_lPN,19044023,220042,23958,15
ORN_DA2->DA2_lPN,19044025,220042,26423,9
ORN_DA2->DA2_lPN,19044029,220042,34301,24
ORN_DA2->DA2_lPN,19046887,220439,18776,16
ORN_DA2->DA2_lPN,19046888,220439,19339,15
ORN_DA2->DA2_lPN,19046889,220439,20105,29
ORN_DA2->DA2_lPN,19046892,220439,20995,12
ORN_DA2->DA2_lPN,19046895,220439,26423,14
ORN_DA2->DA2_lPN,19075438,226284,18776,11
ORN_DA2->DA2_lPN,19075439,226284,19339,11
ORN_DA2->DA2_lPN,19075440,226284,20105,10
ORN_DA2->DA2_lPN,19075443,226284,20995,8
ORN_DA2->DA2_lPN,19075445,226284,26423,21
ORN_DA2->DA2_lPN,19083719,228191,18416,13
ORN_DA2->DA2_lPN,19083721,228191,18776,8
ORN_DA2->DA2_lPN,19083723,228191,19339,9
ORN_DA2->DA2_lPN,19083724,228191,20105,14
ORN_DA2->DA2_lPN,19083725,228191,20311,15
ORN_DA2->DA2_lPN,19083728,228191,20995,11
ORN_DA2->DA2_lPN,19083729,228191,21876,20
ORN_DA2->DA2_lPN,19083732,228191,23958,39
ORN_DA2->DA2_lPN,19083734,228191,26423,9
ORN_DA2->DA2_lPN,19083740,228191,34301,20
ORN_DA2->DA2_lPN,19097086,232071,18416,12
ORN_DA2->DA2_lPN,19097088,232071,18776,7
ORN_DA2->DA2_lPN,19097090,232071,19339,19
ORN_DA2->DA2_lPN,19097091,232071,20105,8
ORN_DA2->DA2_lPN,19097093,232071,20311,13
ORN_DA2->DA2_lPN,19097096,232071,20995,13
ORN_DA2->DA2_lPN,19097097,232071,21876,17
ORN_DA2->DA2_lPN,19097101,232071,23958,4
ORN_DA2->DA2_lPN,19097104,232071,26423,3
ORN_DA2->DA2_lPN,19097111,232071,34301,4
ORN_DA2->DA2_lPN,19097589,232258,18776,16
ORN_DA2->DA2_lPN,19097591,232258,19339,22
ORN_DA2->DA2_lPN,19097592,232258,20105,3
ORN_DA2->DA2_lPN,19097595,232258,20995,10
ORN_DA2->DA2_lPN,19097598,232258,26423,19
ORN_DA2->DA2_lPN,19100960,233434,18776,10
ORN_DA2->DA2_lPN,19100961,233434,19339,17
ORN_DA2->DA2_lPN,19100962,233434,20105,14
ORN_DA2->DA2_lPN,19100965,233434,20995,16
ORN_DA2->DA2_lPN,19100967,233434,26423,3
ORN_DA2->DA2_lPN,19108763,236826,18416,25
ORN_DA2->DA2_lPN,19108764,236826,20311,14
ORN_DA2->DA2_lPN,19108765,236826,21876,9
ORN_DA2->DA2_lPN,19108766,236826,23958,15
ORN_DA2->DA2_lPN,19108769,236826,34301,8
ORN_DA2->DA2_lPN,19131326,246999,18416,9
ORN_DA2->DA2_lPN,19131328,246999,18776,2
ORN_DA2->DA2_lPN,19131329,246999,19339,11
ORN_DA2->DA2_lPN,19131330,246999,20311,11
ORN_DA2->DA2_lPN,19131332,246999,20995,1
ORN_DA2->DA2_lPN,19131333,246999,21876,14
ORN_DA2->DA2_lPN,19131334,246999,23958,15
ORN_DA2->DA2_lPN,19131337,246999,26423,1
ORN_DA2->DA2_lPN,19131340,246999,34301,13
ORN_DA2->DA2_lPN,19145278,254179,18416,9
ORN_DA2->DA2_lPN,19145280,254179,18776,10
ORN_DA2->DA2_lPN,19145281,254179,19339,2
ORN_DA2->DA2_lPN,19145282,254179,20105,18
ORN_DA2->DA2_lPN,19145283,254179,20311,14
ORN_DA2->DA2_lPN,19145285,254179,20995,11
ORN_DA2->DA2_lPN,19145286,254179,21876,11
ORN_DA2->DA2_lPN,19145288,254179,23958,7
ORN_DA2->DA2_lPN,19145290,254179,26423,6
ORN_DA2->DA2_lPN,19161507,262942,18416,17
ORN_DA2->DA2_lPN,19161509,262942,18776,22
ORN_DA2->DA2_lPN,19161511,262942,19339,7
ORN_DA2->DA2_lPN,19161513,262942,20105,9
ORN_DA2->DA2_lPN,19161514,262942,20311,27
ORN_DA2->DA2_lPN,19161518,262942,20995,8
ORN_DA2->DA2_lPN,19161519,262942,21876,9
ORN_DA2->DA2_lPN,19161522,262942,23958,3
ORN_DA2->DA2_lPN,19161524,262942,26423,9
ORN_DA2->DA2_lPN,19161528,262942,34301,16
ORN_DA2->DA2_lPN,19162258,263393,18416,21
ORN_DA2->DA2_lPN,19162260,263393,18776,9
ORN_DA2->DA2_lPN,19162263,263393,19339,10
ORN_DA2->DA2_lPN,19162265,263393,20105,5
ORN_DA2->DA2_lPN,19162266,263393,20311,8
