protocol,pathway,test,sample,time_s,kc_class,d,n,D,N,weight
fig6_naive,both,1,start,840.0,a_only,0.0,0.0,0.0,0.0,1.0
fig6_naive,both,1,start,840.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_naive,both,1,start,840.0,shared,0.0,0.0,0.0,0.0,1.0
fig6_naive,both,1,start,840.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_naive,both,1,last_30s_start,870.0,a_only,0.0,0.0,0.0,0.0,1.0
fig6_naive,both,1,last_30s_start,870.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_naive,both,1,last_30s_start,870.0,shared,0.0,0.0,0.0,0.0,1.0
fig6_naive,both,1,last_30s_start,870.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_naive,both,1,end,900.0,a_only,0.0,0.0,0.0,0.0,1.0
fig6_naive,both,1,end,900.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_naive,both,1,end,900.0,shared,0.0,0.0,0.0,0.0,1.0
fig6_naive,both,1,end,900.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_naive,da_only,1,start,840.0,a_only,0.0,0.0,0.0,0.0,1.0
fig6_naive,da_only,1,start,840.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_naive,da_only,1,start,840.0,shared,0.0,0.0,0.0,0.0,1.0
fig6_naive,da_only,1,start,840.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_naive,da_only,1,last_30s_start,870.0,a_only,0.0,0.0,0.0,0.0,1.0
fig6_naive,da_only,1,last_30s_start,870.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_naive,da_only,1,last_30s_start,870.0,shared,0.0,0.0,0.0,0.0,1.0
fig6_naive,da_only,1,last_30s_start,870.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_naive,da_only,1,end,900.0,a_only,0.0,0.0,0.0,0.0,1.0
fig6_naive,da_only,1,end,900.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_naive,da_only,1,end,900.0,shared,0.0,0.0,0.0,0.0,1.0
fig6_naive,da_only,1,end,900.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_naive,no_only,1,start,840.0,a_only,0.0,0.0,0.0,0.0,1.0
fig6_naive,no_only,1,start,840.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_naive,no_only,1,start,840.0,shared,0.0,0.0,0.0,0.0,1.0
fig6_naive,no_only,1,start,840.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_naive,no_only,1,last_30s_start,870.0,a_only,0.0,0.0,0.0,0.0,1.0
fig6_naive,no_only,1,last_30s_start,870.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_naive,no_only,1,last_30s_start,870.0,shared,0.0,0.0,0.0,0.0,1.0
fig6_naive,no_only,1,last_30s_start,870.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_naive,no_only,1,end,900.0,a_only,0.0,0.0,0.0,0.0,1.0
fig6_naive,no_only,1,end,900.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_naive,no_only,1,end,900.0,shared,0.0,0.0,0.0,0.0,1.0
fig6_naive,no_only,1,end,900.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_naive,neither,1,start,840.0,a_only,0.0,0.0,0.0,0.0,1.0
fig6_naive,neither,1,start,840.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_naive,neither,1,start,840.0,shared,0.0,0.0,0.0,0.0,1.0
fig6_naive,neither,1,start,840.0,neither,0.0,0.0,0.0,0.0,1.0
