run,seed_set,family,phase,mean_published_change
bridge_original,base,gamma,early_100_130,-8.516758680343628e-05
bridge_original,base,gamma,late_130_300,-0.001101180911064148
bridge_original,base,gamma,post_300_400,-0.0467919185757637
bridge_original,base,gamma,tail,-0.0208541601896286
bridge_original,base,apbp,early_100_130,-6.109476089477539e-07
bridge_original,base,apbp,late_130_300,-0.00024008005857467651
bridge_original,base,apbp,post_300_400,-0.0012512058019638062
bridge_original,base,apbp,tail,-0.0005616173148155212
bridge_original,base,ab,early_100_130,-9.426474571228027e-05
bridge_original,base,ab,late_130_300,-0.011439457535743713
bridge_original,base,ab,post_300_400,-0.014684557914733887
bridge_original,base,ab,tail,-0.006736151874065399
bridge_original,base,other,early_100_130,0.0
bridge_original,base,other,late_130_300,0.0
bridge_original,base,other,post_300_400,0.0
bridge_original,base,other,tail,0.0
bridge_original,alt,gamma,early_100_130,1.8246471881866455e-05
bridge_original,alt,gamma,late_130_300,-0.003610074520111084
bridge_original,alt,gamma,post_300_400,-0.0542416125535965
bridge_original,alt,gamma,tail,-0.023418545722961426
bridge_original,alt,apbp,early_100_130,5.21540641784668e-08
bridge_original,alt,apbp,late_130_300,-0.001132957637310028
bridge_original,alt,apbp,post_300_400,-0.00030694901943206787
bridge_original,alt,apbp,tail,-0.0001331418752670288
bridge_original,alt,ab,early_100_130,0.00010304152965545654
bridge_original,alt,ab,late_130_300,0.0012800917029380798
bridge_original,alt,ab,post_300_400,0.014437519013881683
bridge_original,alt,ab,tail,0.006015703082084656
bridge_original,alt,other,early_100_130,0.0
bridge_original,alt,other,late_130_300,0.0
bridge_original,alt,other,post_300_400,0.0
bridge_original,alt,other,tail,0.0
bridge_second,base,gamma,early_100_130,0.0002138391137123108
bridge_second,base,gamma,late_130_300,0.03527073562145233
bridge_second,base,gamma,post_300_400,-0.06829573959112167
bridge_second,base,gamma,tail,-0.031801119446754456
bridge_second,base,apbp,early_100_130,8.806586265563965e-06
bridge_second,base,apbp,late_130_300,-0.0034047365188598633
bridge_second,base,apbp,post_300_400,-0.0066160038113594055
bridge_second,base,apbp,tail,-0.0029649510979652405
bridge_second,base,ab,early_100_130,0.0002112463116645813
bridge_second,base,ab,late_130_300,-0.046801596879959106
bridge_second,base,ab,post_300_400,-0.10248125344514847
bridge_second,base,ab,tail,-0.04597926139831543
bridge_second,base,other,early_100_130,0.0
bridge_second,base,other,late_130_300,0.0
bridge_second,base,other,post_300_400,0.0
bridge_second,base,other,tail,0.0
bridge_second,alt,gamma,early_100_130,-1.8328428268432617e-06
bridge_second,alt,gamma,late_130_300,-0.011240236461162567
bridge_second,alt,gamma,post_300_400,-0.06786809861660004
bridge_second,alt,gamma,tail,-0.033031538128852844
bridge_second,alt,apbp,early_100_130,2.7865171432495117e-06
bridge_second,alt,apbp,late_130_300,-0.0016063451766967773
bridge_second,alt,apbp,post_300_400,-0.0007541924715042114
bridge_second,alt,apbp,tail,-0.0004437267780303955
bridge_second,alt,ab,early_100_130,4.2751431465148926e-05
bridge_second,alt,ab,late_130_300,0.02206289768218994
bridge_second,alt,ab,post_300_400,0.014295578002929688
bridge_second,alt,ab,tail,0.004385367035865784
bridge_second,alt,other,early_100_130,0.0
bridge_second,alt,other,late_130_300,0.0
bridge_second,alt,other,post_300_400,0.0
bridge_second,alt,other,tail,0.0
raw_original,base,gamma,early_100_130,-0.003916889429092407
raw_original,base,gamma,late_130_300,-0.08589337766170502
raw_original,base,gamma,post_300_400,-0.05280405282974243
raw_original,base,gamma,tail,0.0
raw_original,base,apbp,early_100_130,-0.00017680227756500244
raw_original,base,apbp,late_130_300,-0.0046096742153167725
raw_original,base,apbp,post_300_400,0.0002954155206680298
raw_original,base,apbp,tail,0.0
raw_original,base,ab,early_100_130,-0.014031551778316498
raw_original,base,ab,late_130_300,-0.026730574667453766
raw_original,base,ab,post_300_400,0.00469091534614563
raw_original,base,ab,tail,0.0
raw_original,base,other,early_100_130,0.0
raw_original,base,other,late_130_300,0.0
raw_original,base,other,post_300_400,0.0
raw_original,base,other,tail,0.0
raw_original,alt,gamma,early_100_130,-0.007355332374572754
raw_original,alt,gamma,late_130_300,-0.19273589551448822
raw_original,alt,gamma,post_300_400,-0.020598582923412323
raw_original,alt,gamma,tail,0.0
raw_original,alt,apbp,early_100_130,-0.0004315897822380066
raw_original,alt,apbp,late_130_300,-0.0059651583433151245
raw_original,alt,apbp,post_300_400,0.0023838505148887634
raw_original,alt,apbp,tail,0.0
raw_original,alt,ab,early_100_130,0.004038684070110321
raw_original,alt,ab,late_130_300,0.03978215157985687
raw_original,alt,ab,post_300_400,-0.007221333682537079
raw_original,alt,ab,tail,0.0
raw_original,alt,other,early_100_130,0.0
raw_original,alt,other,late_130_300,0.0
raw_original,alt,other,post_300_400,0.0
raw_original,alt,other,tail,0.0
raw_second,base,gamma,early_100_130,0.004581019282341003
raw_second,base,gamma,late_130_300,0.030802324414253235
raw_second,base,gamma,post_300_400,-0.14687877148389816
raw_second,base,gamma,tail,0.0
raw_second,base,apbp,early_100_130,0.00035502761602401733
raw_second,base,apbp,late_130_300,-0.019090287387371063
raw_second,base,apbp,post_300_400,-0.008412294089794159
raw_second,base,apbp,tail,0.0
raw_second,base,ab,early_100_130,0.022343404591083527
raw_second,base,ab,late_130_300,-0.2709348052740097
raw_second,base,ab,post_300_400,-0.12838850170373917
raw_second,base,ab,tail,0.0
raw_second,base,other,early_100_130,0.0
raw_second,base,other,late_130_300,0.0
raw_second,base,other,post_300_400,0.0
raw_second,base,other,tail,0.0
raw_second,alt,gamma,early_100_130,-0.006091125309467316
raw_second,alt,gamma,late_130_300,-0.14046349376440048
raw_second,alt,gamma,post_300_400,-0.10306433588266373
raw_second,alt,gamma,tail,0.0
raw_second,alt,apbp,early_100_130,-0.0009885728359222412
raw_second,alt,apbp,late_130_300,5.0283968448638916e-05
raw_second,alt,apbp,post_300_400,-0.00462794303894043
raw_second,alt,apbp,tail,0.0
raw_second,alt,ab,early_100_130,-0.003688827157020569
raw_second,alt,ab,late_130_300,0.14339403808116913
raw_second,alt,ab,post_300_400,-0.06408879905939102
raw_second,alt,ab,tail,0.0
raw_second,alt,other,early_100_130,0.0
raw_second,alt,other,late_130_300,0.0
raw_second,alt,other,post_300_400,0.0
raw_second,alt,other,tail,0.0
