panel,seed_set,game,seed,target_body_id,phase,family,due_edge_events,accepted_edge_events,accepted_increment,discarded_increment,same_step_increment,conditional_g_spike_reset,conditional_g_decay_loss
original,base,4362,4404,11327,0-100ms,gamma,524,466,346.3625103831291,39.875001043081284,5.225000098347664,124.24738874726208,211.90097753058598
original,base,4362,4404,11327,0-100ms,apbp,1,0,0.0,0.13750000298023224,0.0,0.0,0.0
original,base,4362,4404,11327,0-100ms,ab,82,72,28.18750098347664,3.8500001579523087,0.0,6.200395693782676,21.26406200856346
original,base,4362,4404,11327,0-100ms,other,0,0,0.0,0.0,0.0,0.0,0.0
original,base,4362,4404,11327,100-130ms,gamma,220,184,135.16250410676003,24.200000554323196,0.4125000238418579,55.611297139840445,78.28530122069623
original,base,4362,4404,11327,100-130ms,apbp,0,0,0.0,0.0,0.0,0.0,0.0
original,base,4362,4404,11327,100-130ms,ab,35,28,10.450000286102295,2.8875001072883606,0.2750000059604645,5.002479446141383,4.980627449963084
original,base,4362,4404,11327,100-130ms,other,0,0,0.0,0.0,0.0,0.0,0.0
original,base,4362,4404,11327,130-300ms,gamma,1299,1090,799.0125244706869,149.6000044196844,13.887500554323196,312.1495333905892,498.34304093160205
original,base,4362,4404,11327,130-300ms,apbp,5,5,0.6875000149011612,0.0,0.13750000298023224,0.44881632620366824,0.238683688697493
original,base,4362,4404,11327,130-300ms,ab,209,182,74.38750250637531,12.237500369548798,0.8250000476837158,26.92198790604477,48.65545127145887
original,base,4362,4404,11327,130-300ms,other,0,0,0.0,0.0,0.0,0.0,0.0
original,base,4362,4404,11327,300-400ms,gamma,25,23,13.337500348687172,1.9250000715255737,0.0,0.0,13.337500303777173
original,base,4362,4404,11327,300-400ms,apbp,0,0,0.0,0.0,0.0,0.0,0.0
original,base,4362,4404,11327,300-400ms,ab,4,4,2.200000062584877,0.0,0.0,0.0,2.2000000558415866
original,base,4362,4404,11327,300-400ms,other,0,0,0.0,0.0,0.0,0.0,0.0
original,base,4362,4404,11900,0-100ms,gamma,518,447,329.587510406971,53.76250176131725,5.775000214576721,102.20547616473658,216.33617158033275
original,base,4362,4404,11900,0-100ms,apbp,0,0,0.0,0.0,0.0,0.0,0.0
original,base,4362,4404,11900,0-100ms,ab,81,72,28.87500098347664,3.3000001162290573,1.100000023841858,7.93181024697116,20.465766966406743
original,base,4362,4404,11900,0-100ms,other,0,0,0.0,0.0,0.0,0.0,0.0
original,base,4362,4404,11900,100-130ms,gamma,222,182,132.687504529953,27.637500911951065,2.337500125169754,56.79581684633543,76.51113679513729
original,base,4362,4404,11900,100-130ms,apbp,0,0,0.0,0.0,0.0,0.0,0.0
original,base,4362,4404,11900,100-130ms,ab,37,29,15.12500049173832,2.887500077486038,0.9625000357627869,5.67914893881953,7.024007214572755
original,base,4362,4404,11900,100-130ms,other,0,0,0.0,0.0,0.0,0.0,0.0
original,base,4362,4404,11900,130-300ms,gamma,1302,1124,852.0875273942947,135.4375043809414,13.750000476837158,341.5781905844921,520.9357503601846
original,base,4362,4404,11900,130-300ms,apbp,0,0,0.0,0.0,0.0,0.0,0.0
original,base,4362,4404,11900,130-300ms,ab,198,169,62.97500218451023,12.787500396370888,1.100000023841858,24.43183570789597,41.44243458505902
original,base,4362,4404,11900,130-300ms,other,0,0,0.0,0.0,0.0,0.0,0.0
original,base,4362,4404,11900,300-400ms,gamma,26,14,10.312500357627869,9.07500022649765,0.0,0.0,10.312500316990034
original,base,4362,4404,11900,300-400ms,apbp,0,0,0.0,0.0,0.0,0.0,0.0
original,base,4362,4404,11900,300-400ms,ab,4,3,0.6875000298023224,0.13750000298023224,0.0,0.0,0.6875000273580387
original,base,4362,4404,11900,300-400ms,other,0,0,0.0,0.0,0.0,0.0,0.0
