body_id,graph_index,type,instance,kc_family,home_eligible_edges,away_eligible_edges,raw_events_across_32_histories,weighted_event_mass_across_32_histories,minimum_recorded_susceptibility,original_home_gain_sum_across_32_histories,candidate_home_gain_sum_across_32_histories
11862,1740,KCab-s,KCab-s_L,ab,1,0,0,0.0,1.0,0.0,0.0
13173,2971,KCab-c,KCab-c_R,ab,1,0,24,23.94301625102987,0.0,-0.010164141654968262,-0.010184168815612793
14292,3986,KCg-m,KCg-m_R,gamma,1,2,114,111.59903782148668,0.0,-0.006289541721343994,-0.009034156799316406
15103,4714,KCg-m,KCg-m_R,gamma,1,2,40,39.01712334792569,0.0,0.0002765655517578125,-0.0012979507446289062
17488,6846,KCa'b'-ap2,KCa'b'-ap2_R,apbp,0,0,0,0.0,1.0,0.0,0.0
18031,7337,KCa'b'-ap2,KCa'b'-ap2_R,apbp,0,0,0,0.0,1.0,0.0,0.0
18540,7784,KCg-s1,KCg-s1_R,gamma,2,2,0,0.0,1.0,0.0,0.0
19083,8285,KCg-m,KCg-m_L,gamma,1,2,77,75.17268876591102,0.0,0.0025133490562438965,0.00023323297500610352
19102,8303,KCg-d,KCg-d_R,gamma,1,2,0,0.0,1.0,0.0,0.0
19788,8904,KCg-d,KCg-d_L,gamma,1,2,0,0.0,1.0,0.0,0.0
20322,9377,KCa'b'-ap2,KCa'b'-ap2_R,apbp,0,0,5,4.997745492967251,0.7994673642669987,0.0,0.0
20773,9782,KCg-m,KCg-m_R,gamma,2,2,195,191.18834890493628,0.09324306867495297,0.001665353775024414,-0.007784605026245117
21778,10679,KCg-s1,KCg-s1_L,gamma,1,2,0,0.0,1.0,0.0,0.0
21879,10772,KCg-m,KCg-m_R,gamma,1,2,7,6.813422982708458,0.006260043066854078,0.00039970874786376953,0.0003477931022644043
22031,10909,KCg-m,KCg-m_R,gamma,1,2,102,99.7989117643716,0.0,-0.009613752365112305,-0.012178659439086914
22533,11368,KCg-m,KCg-m_R,gamma,1,2,27,25.80865192958199,0.0,0.0037223100662231445,0.0019042491912841797
22995,11784,KCa'b'-ap2,KCa'b'-ap2_R,apbp,1,0,25,24.942126574021373,0.7130434832897234,-0.0053441524505615234,-0.005422532558441162
23037,11822,KCab-s,KCab-s_R,ab,1,0,4,3.8325747985403087,0.45623912339355593,0.003946185111999512,0.0035707950592041016
23166,11931,KCg-m,KCg-m_R,gamma,1,2,5,5.0,0.0,-0.0035318732261657715,-0.0035318732261657715
24146,12810,KCg-s2,KCg-s2_L,gamma,1,3,0,0.0,1.0,0.0,0.0
24204,12862,KCg-m,KCg-m_R,gamma,2,2,38,36.72974117353802,0.0,0.023374199867248535,0.019029736518859863
24695,13293,KCab-m,KCab-m_R,ab,1,0,57,56.47222157361071,0.5097207325108409,-0.014379143714904785,-0.015014886856079102
24959,13533,KCg-m,KCg-m_R,gamma,1,2,21,20.151511062102813,0.0,-0.004969418048858643,-0.006786346435546875
25017,13583,KCg-m,KCg-m_R,gamma,1,2,39,37.520418763308655,0.0,-0.0002218484878540039,-0.0020172595977783203
25030,13593,KCg-s2,KCg-s2_R,gamma,1,2,0,0.0,1.0,0.0,0.0
25631,14133,KCa'b'-ap1,KCa'b'-ap1_R,apbp,0,0,0,0.0,1.0,0.0,0.0
25879,14360,KCab-m,KCab-m_R,ab,1,0,0,0.0,1.0,0.0,0.0
26792,15167,KCg-m,KCg-m_R,gamma,1,2,3,3.0,0.0,0.003292560577392578,0.003292560577392578
27583,15866,KCg-m,KCg-m_R,gamma,1,2,63,60.696840108168516,0.0,0.001113593578338623,-0.002283334732055664
28196,16421,KCa'b'-ap1,KCa'b'-ap1_L,apbp,1,0,0,0.0,1.0,0.0,0.0
28516,16706,KCa'b'-ap1,KCa'b'-ap1_L,apbp,1,0,0,0.0,1.0,0.0,0.0
28631,16811,KCg-m,KCg-m_R,gamma,1,2,58,55.86891815740886,0.0,0.0022771358489990234,-0.00026923418045043945
28848,17000,KCg-d,KCg-d_L,gamma,1,2,0,0.0,1.0,0.0,0.0
29471,17545,KCab-m,KCab-m_R,ab,1,0,1,1.0,0.8773132219804448,-0.0018839836120605469,-0.0018839836120605469
29728,17789,KCg-m,KCg-m_R,gamma,1,3,39,37.97881874669057,0.0,-0.0031890273094177246,-0.004104733467102051
30397,18370,KCg-d,KCg-d_R,gamma,1,2,0,0.0,1.0,0.0,0.0
