Connectome,Body_ID,Root_Side,Superclass,Class,Subclass,Type,Subtype,Entry_Nerve
maleCNS,163395,R,Sensory,Gustatory,Labellar Bristle,LB1,LB1a,MxLbN
maleCNS,375038,R,Sensory,Gustatory,Labellar Bristle,LB1,LB1a,MxLbN
maleCNS,556797,R,Sensory,Gustatory,Labellar Bristle,LB1,LB1a,MxLbN
maleCNS,115666,R,Sensory,Gustatory,Labellar Bristle,LB1,LB1a,MxLbN
maleCNS,154544,R,Sensory,Gustatory,Labellar Bristle,LB1,LB1a,MxLbN
maleCNS,144334,L,Sensory,Gustatory,Labellar Bristle,LB1,LB1a,MxLbN
maleCNS,168492,L,Sensory,Gustatory,Labellar Bristle,LB1,LB1a,MxLbN
maleCNS,173462,L,Sensory,Gustatory,Labellar Bristle,LB1,LB1a,MxLbN
maleCNS,557937,L,Sensory,Gustatory,Labellar Bristle,LB1,LB1a,MxLbN
maleCNS,140334446,L,Sensory,Gustatory,Labellar Bristle,LB1,LB1a,MxLbN
maleCNS,144295263,L,Sensory,Gustatory,Labellar Bristle,LB1,LB1a,MxLbN
FAFB – Flywire,720575940617433830,R,Sensory,Gustatory,Labellar Bristle,LB1,LB1a,MxLbN
FAFB – Flywire,720575940618682526,R,Sensory,Gustatory,Labellar Bristle,LB1,LB1a,MxLbN
FAFB – Flywire,720575940619659861,R,Sensory,Gustatory,Labellar Bristle,LB1,LB1a,MxLbN
FAFB – Flywire,720575940621864060,R,Sensory,Gustatory,Labellar Bristle,LB1,LB1a,MxLbN
FAFB – Flywire,720575940624310345,R,Sensory,Gustatory,Labellar Bristle,LB1,LB1a,MxLbN
FAFB – Flywire,720575940629416318,R,Sensory,Gustatory,Labellar Bristle,LB1,LB1a,MxLbN
FAFB – Flywire,720575940634859188,R,Sensory,Gustatory,Labellar Bristle,LB1,LB1a,MxLbN
FAFB – Flywire,720575940638312262,R,Sensory,Gustatory,Labellar Bristle,LB1,LB1a,MxLbN
FAFB – Flywire,720575940604027168,L,Sensory,Gustatory,Labellar Bristle,LB1,LB1a,MxLbN
FAFB – Flywire,720575940610259370,L,Sensory,Gustatory,Labellar Bristle,LB1,LB1a,MxLbN
FAFB – Flywire,720575940617094208,L,Sensory,Gustatory,Labellar Bristle,LB1,LB1a,MxLbN
FAFB – Flywire,720575940619028208,L,Sensory,Gustatory,Labellar Bristle,LB1,LB1a,MxLbN
FAFB – Flywire,720575940621008895,L,Sensory,Gustatory,Labellar Bristle,LB1,LB1a,MxLbN
FAFB – Flywire,720575940626287336,L,Sensory,Gustatory,Labellar Bristle,LB1,LB1a,MxLbN
FAFB – Flywire,720575940627692048,L,Sensory,Gustatory,Labellar Bristle,LB1,LB1a,MxLbN
FAFB – Flywire,720575940630195909,L,Sensory,Gustatory,Labellar Bristle,LB1,LB1a,MxLbN
maleCNS,522762,R,Sensory,Gustatory,Labellar Bristle,LB1,LB1b,MxLbN
maleCNS,514546,R,Sensory,Gustatory,Labellar Bristle,LB1,LB1b,MxLbN
maleCNS,522752,R,Sensory,Gustatory,Labellar Bristle,LB1,LB1b,MxLbN
maleCNS,511882,L,Sensory,Gustatory,Labellar Bristle,LB1,LB1b,MxLbN
maleCNS,514547,L,Sensory,Gustatory,Labellar Bristle,LB1,LB1b,MxLbN
maleCNS,912379,L,Sensory,Gustatory,Labellar Bristle,LB1,LB1b,MxLbN
FAFB – Flywire,720575940623183083,R,Sensory,Gustatory,Labellar Bristle,LB1,LB1b,MxLbN
FAFB – Flywire,720575940625750105,R,Sensory,Gustatory,Labellar Bristle,LB1,LB1b,MxLbN
FAFB – Flywire,720575940629481516,R,Sensory,Gustatory,Labellar Bristle,LB1,LB1b,MxLbN
FAFB – Flywire,720575940618025199,R,Sensory,Gustatory,Labellar Bristle,LB1,LB1b,MxLbN
FAFB – Flywire,720575940646212996,L,Sensory,Gustatory,Labellar Bristle,LB1,LB1b,MxLbN
FAFB – Flywire,720575940610483162,L,Sensory,Gustatory,Labellar Bristle,LB1,LB1b,MxLbN
FAFB – Flywire,720575940621778381,L,Sensory,Gustatory,Labellar Bristle,LB1,LB1b,MxLbN
maleCNS,107241,R,Sensory,Gustatory,Labellar Bristle,LB1,LB1c,MxLbN
maleCNS,208885,R,Sensory,Gustatory,Labellar Bristle,LB1,LB1c,MxLbN
