Connectome,Body_ID,Root_Side,Superclass,Type,Target_Muscle,Exit_Nerve
maleCNS,580748,R,Motor,MN1,1,MxLbN
maleCNS,102317324,R,Motor,MN1,1,MxLbN
maleCNS,11084,L,Motor,MN1,1,MxLbN
maleCNS,15530,L,Motor,MN1,1,MxLbN
FAFB – Flywire,720575940623415849,R,Motor,MN1,1,MxLbN
FAFB – Flywire,720575940629936348,R,Motor,MN1,1,MxLbN
FAFB – Flywire,720575940615500030,L,Motor,MN1,1,MxLbN
FAFB – Flywire,720575940616340639,L,Motor,MN1,1,MxLbN
maleCNS,517268,R,Motor,MN2Da,2D,MxLbN
maleCNS,14780,L,Motor,MN2Da,2D,MxLbN
FAFB – Flywire,720575940645697828,R,Motor,MN2Da,2D,MxLbN
FAFB – Flywire,720575940628998659,L,Motor,MN2Da,2D,MxLbN
maleCNS,10538,R,Motor,MN2Db,Unknown,MxLbN
maleCNS,17281,L,Motor,MN2Db,Unknown,MxLbN
FAFB – Flywire,720575940617403622,R,Motor,MN2Db,Unknown,MxLbN
FAFB – Flywire,720575940618600246,L,Motor,MN2Db,Unknown,MxLbN
maleCNS,519878,R,Motor,MN2V,2V,MxLbN
maleCNS,555796,L,Motor,MN2V,2V,MxLbN
FAFB – Flywire,720575940614734754,R,Motor,MN2V,2V,MxLbN
FAFB – Flywire,720575940619682368,L,Motor,MN2V,2V,MxLbN
maleCNS,524799,R,Motor,MN3M,3M,PhN
maleCNS,94688,L,Motor,MN3M,3M,PhN
FAFB – Flywire,720575940644726432,R,Motor,MN3M,3M,PhN
FAFB – Flywire,720575940610679876,L,Motor,MN3M,3M,PhN
maleCNS,511990,R,Motor,MN3L,3L,PhN
maleCNS,269067,L,Motor,MN3L,3L,PhN
maleCNS,85275,R,Motor,MN3L,3L,PhN
maleCNS,556589,L,Motor,MN3L,3L,PhN
FAFB – Flywire,720575940623993015,R,Motor,MN3L,3L,PhN
FAFB – Flywire,720575940647474979,L,Motor,MN3L,3L,PhN
FAFB – Flywire,720575940645528430,R,Motor,MN3L,3L,PhN
FAFB – Flywire,720575940630580854,L,Motor,MN3L,3L,PhN
maleCNS,522704,R,Motor,MN4a,4,MxLbN
maleCNS,27938,R,Motor,MN4a,4,MxLbN
maleCNS,18295,L,Motor,MN4a,4,MxLbN
maleCNS,36368,L,Motor,MN4a,4,MxLbN
FAFB – Flywire,720575940629561347,R,Motor,MN4a,4,MxLbN
FAFB – Flywire,720575940607193986,R,Motor,MN4a,4,MxLbN
FAFB – Flywire,720575940614386070,L,Motor,MN4a,4,MxLbN
FAFB – Flywire,720575940625612474,L,Motor,MN4a,4,MxLbN
maleCNS,11450,R,Motor,MN4b,Unknown,MxLbN
maleCNS,518650,L,Motor,MN4b,Unknown,MxLbN
FAFB – Flywire,720575940629810748,R,Motor,MN4b,Unknown,MxLbN
FAFB – Flywire,720575940630865724,L,Motor,MN4b,Unknown,MxLbN
maleCNS,13359,R,Motor,MN5,5,PhN
maleCNS,535501,L,Motor,MN5,5,PhN
FAFB – Flywire,720575940626939737,R,Motor,MN5,5,PhN
FAFB – Flywire,720575940623390246,L,Motor,MN5,5,PhN
maleCNS,519667,R,Motor,MN6,6,MxLbN
maleCNS,924612,L,Motor,MN6,6,MxLbN
FAFB – Flywire,720575940628826128,R,Motor,MN6,6,MxLbN
FAFB – Flywire,720575940627410451,L,Motor,MN6,6,MxLbN
maleCNS,32092,R,Motor,MN7,7,MxLbN
maleCNS,17495,R,Motor,MN7,7,MxLbN
maleCNS,16134,L,Motor,MN7,7,MxLbN
maleCNS,16892,L,Motor,MN7,7,MxLbN
FAFB – Flywire,720575940626094350,R,Motor,MN7,7,MxLbN
FAFB – Flywire,720575940628997123,R,Motor,MN7,7,MxLbN
FAFB – Flywire,720575940621586854,L,Motor,MN7,7,MxLbN
FAFB – Flywire,720575940633185567,L,Motor,MN7,7,MxLbN
maleCNS,20173,R,Motor,MN8,8,MxLbN
maleCNS,16827,L,Motor,MN8,8,MxLbN
FAFB – Flywire,720575940612888178,R,Motor,MN8,8,MxLbN
FAFB – Flywire,720575940623352063,L,Motor,MN8,8,MxLbN
maleCNS,16949,R,Motor,MN9,9,PhN
maleCNS,10331,L,Motor,MN9,9,PhN
FAFB – Flywire,720575940660219265,R,Motor,MN9,9,PhN
FAFB – Flywire,720575940618238523,L,Motor,MN9,9,PhN
maleCNS,515060,R,Motor,MN10,10,PhN
maleCNS,925726,L,Motor,MN10,10,PhN
FAFB – Flywire,720575940620025620,R,Motor,MN10,10,PhN
FAFB – Flywire,720575940622810153,L,Motor,MN10,10,PhN
maleCNS,11861,R,Motor,MN10,10,PhN
FAFB – Flywire,720575940628743752,R,Motor,MN10,10,PhN
maleCNS,11269,R,Motor,MN11D,11D,PhN
maleCNS,11393,R,Motor,MN11D,11D,PhN
maleCNS,551398,L,Motor,MN11D,11D,PhN
FAFB – Flywire,720575940630868793,R,Motor,MN11D,11D,PhN
FAFB – Flywire,720575940618165019,L,Motor,MN11D,11D,PhN
maleCNS,492462351,R,Motor,MN11V,11V,PhN
maleCNS,49829,L,Motor,MN11V,11V,PhN
FAFB – Flywire,720575940635360924,R,Motor,MN11V,11V,PhN
FAFB – Flywire,720575940636165624,L,Motor,MN11V,11V,PhN
maleCNS,10619,R,Motor,MN12D,12D,PhN
maleCNS,440899,R,Motor,MN12D,12D,PhN
maleCNS,14237,L,Motor,MN12D,12D,PhN
maleCNS,533967,L,Motor,MN12D,12D,PhN
FAFB – Flywire,720575940645527918,R,Motor,MN12D,12D,PhN
FAFB – Flywire,720575940630233404,R,Motor,MN12D,12D,PhN
FAFB – Flywire,720575940615197747,L,Motor,MN12D,12D,PhN
FAFB – Flywire,720575940618539810,L,Motor,MN12D,12D,PhN
maleCNS,30780,R,Motor,MN13,13,MxLbN
maleCNS,14907,L,Motor,MN13,13,MxLbN
FAFB – Flywire,720575940623137818,R,Motor,MN13,13,MxLbN
FAFB – Flywire,720575940633195148,L,Motor,MN13,13,MxLbN
maleCNS,23511,R,Motor,CEM,Crop Entry,PhN
maleCNS,34597,R,Motor,CEM,Crop Entry,PhN
maleCNS,19823,L,Motor,CEM,Crop Entry,PhN
maleCNS,20518,L,Motor,CEM,Crop Entry,PhN
maleCNS,32852,L,Motor,CEM,Crop Entry,PhN
maleCNS,482595,L,Motor,CEM,Crop Entry,PhN
FAFB – Flywire,720575940621126384,R,Motor,CEM,Crop Entry,PhN
FAFB – Flywire,720575940621169690,R,Motor,CEM,Crop Entry,PhN
FAFB – Flywire,720575940628781333,R,Motor,CEM,Crop Entry,PhN
FAFB – Flywire,720575940620008112,L,Motor,CEM,Crop Entry,PhN
FAFB – Flywire,720575940625799513,L,Motor,CEM,Crop Entry,PhN
FAFB – Flywire,720575940640681680,L,Motor,CEM,Crop Entry,PhN
maleCNS,19296,R,Motor,MNx01,Unknown,PhN
maleCNS,101002,L,Motor,MNx01,Unknown,PhN
maleCNS,512877,L,Motor,MNx01,Unknown,PhN
maleCNS,533971,L,Motor,MNx01,Unknown,PhN
FAFB – Flywire,720575940631999080,R,Motor,MNx01,Unknown,PhN
FAFB – Flywire,720575940632304711,R,Motor,MNx01,Unknown,PhN
FAFB – Flywire,720575940629778554,R,Motor,MNx01,Unknown,PhN
maleCNS,26137,R,Motor,MNx02,Unknown,PhN
maleCNS,10047,L,Motor,MNx02,Unknown,PhN
FAFB – Flywire,720575940661338497,R,Motor,MNx02,Unknown,PhN
FAFB – Flywire,720575940632281927,L,Motor,MNx02,Unknown,PhN
maleCNS,24511,R,Motor,MNx03,Unknown,PhN
maleCNS,16361,L,Motor,MNx03,Unknown,PhN
maleCNS,20600,L,Motor,MNx03,Unknown,PhN
FAFB – Flywire,720575940620553654,R,Motor,MNx03,Unknown,PhN
FAFB – Flywire,720575940624554170,L,Motor,MNx03,Unknown,PhN
FAFB – Flywire,720575940646274670,L,Motor,MNx03,Unknown,PhN
FAFB – Flywire,720575940648804217,L,Motor,MNx03,Unknown,PhN
maleCNS,200682,R,Motor,MNx04,Unknown,PhN
maleCNS,1004417640,L,Motor,MNx04,Unknown,PhN
FAFB – Flywire,720575940624967612,R,Motor,MNx04,Unknown,PhN
FAFB – Flywire,720575940613935535,L,Motor,MNx04,Unknown,PhN
maleCNS,24808,R,Motor,MNx05,Unknown,PhN
maleCNS,917601,L,Motor,MNx05,Unknown,PhN
FAFB – Flywire,720575940628096586,R,Motor,MNx05,Unknown,PhN
FAFB – Flywire,720575940622137633,L,Motor,MNx05,Unknown,PhN
