body_id,graph_index,type,instance,cell_class,superclass,soma_side,root_side,transmitter,base_model_sign,reward_fast_output_zeroed,roles,kc_family,home_support_edges,away_support_edges,encoder_feature,encoder_center
10013,9,MBON01,MBON01(y5B'2a)_R,MBON,cb_intrinsic,R,,glutamate,-1,0,MBON,,0,0,,
10039,30,VL2a_adPN,VL2a_adPN_R,ALPN,cb_intrinsic,R,,acetylcholine,1,0,ALPN,,0,0,11,0.5
10049,40,VA7m_lPN,VA7m_lPN_L,ALPN,cb_intrinsic,L,,acetylcholine,1,0,ALPN,,0,0,4,0.5
10075,62,DA1_lPN,DA1_lPN_L,ALPN,cb_intrinsic,L,,acetylcholine,1,0,ALPN,,0,0,0,-1.5
10079,66,MBON06,MBON06(B1>a)_R,MBON,cb_intrinsic,R,,glutamate,-1,0,MBON,,0,0,,
10084,71,DP1m_adPN,DP1m_adPN_R,ALPN,cb_intrinsic,R,,acetylcholine,1,0,ALPN,,0,0,6,-0.5
10111,97,DM3_adPN,DM3_adPN_L,ALPN,cb_intrinsic,L,,acetylcholine,1,0,ALPN,,0,0,1,-0.5
10126,112,DP1m_adPN,DP1m_adPN_L,ALPN,cb_intrinsic,L,,acetylcholine,1,0,ALPN,,0,0,6,-0.5
10134,120,VL2a_adPN,VL2a_adPN_L,ALPN,cb_intrinsic,L,,acetylcholine,1,0,ALPN,,0,0,11,0.5
10176,159,DM1_lPN,DM1_lPN_R,ALPN,cb_intrinsic,R,,acetylcholine,1,0,ALPN,,0,0,15,-1.5
10198,179,VA7l_adPN,VA7l_adPN_R,ALPN,cb_intrinsic,R,,acetylcholine,1,0,ALPN,,0,0,3,0.5
10208,189,DM1_lPN,DM1_lPN_L,ALPN,cb_intrinsic,L,,acetylcholine,1,0,ALPN,,0,0,15,-1.5
10262,241,V_ilPN,V_ilPN_L,ALPN,cb_intrinsic,L,,acetylcholine,1,0,ALPN,,0,0,15,1.5
10267,246,MBON14,MBON14(a3)_R,MBON,cb_intrinsic,R,,acetylcholine,1,0,MBON,,0,0,,
10321,296,VL2p_adPN,VL2p_adPN_L,ALPN,cb_intrinsic,L,,acetylcholine,1,0,ALPN,,0,0,12,0.5
10359,331,DL1_adPN,DL1_adPN_L,ALPN,cb_intrinsic,L,,acetylcholine,1,0,ALPN,,0,0,9,-1.5
10390,360,VA2_adPN,VA2_adPN_R,ALPN,cb_intrinsic,R,,acetylcholine,1,0,ALPN,,0,0,14,-0.5
10399,368,PPL202,PPL202_R,DAN,cb_intrinsic,R,,dopamine,1,1,DAN,,0,0,,
10402,370,MZ_lv2PN,MZ_lv2PN_R,ALPN,cb_intrinsic,R,,gaba,-1,0,ALPN,,0,0,,
10408,376,VP1d+VP4_l2PN2,VP1d+VP4_l2PN2_R,ALPN,cb_intrinsic,R,,acetylcholine,1,0,ALPN,,0,0,,
10423,390,DP1l_adPN,DP1l_adPN_R,ALPN,cb_intrinsic,R,,acetylcholine,1,0,ALPN,,0,0,5,-0.5
10429,394,VM6_adPN,VM6_adPN_L,ALPN,cb_intrinsic,L,,acetylcholine,1,0,ALPN,,0,0,4,1.5
10470,434,DC1_adPN,DC1_adPN_L,ALPN,cb_intrinsic,L,,acetylcholine,1,0,ALPN,,0,0,5,-1.5
10472,436,MZ_lv2PN,MZ_lv2PN_L,ALPN,cb_intrinsic,L,,gaba,-1,0,ALPN,,0,0,,
10495,459,MBON05,MBON05(y4>y1y2)_R,MBON,cb_intrinsic,R,,glutamate,-1,0,MBON,,0,0,,
10522,484,VL2p_adPN,VL2p_adPN_R,ALPN,cb_intrinsic,R,,acetylcholine,1,0,ALPN,,0,0,12,0.5
10524,486,DP1l_adPN,DP1l_adPN_L,ALPN,cb_intrinsic,L,,acetylcholine,1,0,ALPN,,0,0,5,-0.5
10530,492,VL1_ilPN,VL1_ilPN_L,ALPN,cb_intrinsic,L,,acetylcholine,1,0,ALPN,,0,0,10,0.5
10540,502,APL,APL_R,,cb_intrinsic,R,,gaba,-1,0,APL,,0,0,,
10561,522,VA2_adPN,VA2_adPN_L,ALPN,cb_intrinsic,L,,acetylcholine,1,0,ALPN,,0,0,14,-0.5
10567,528,M_l2PNl20,M_l2PNl20_R,ALPN,cb_intrinsic,R,,acetylcholine,1,0,ALPN,,0,0,,
10568,529,FB4L,FB4L_R,CX,cb_intrinsic,R,,dopamine,1,1,,,0,0,,
10569,530,DC1_adPN,DC1_adPN_R,ALPN,cb_intrinsic,R,,acetylcholine,1,0,ALPN,,0,0,5,-1.5
10599,558,MBON35,MBON35(y2)_L,MBON,cb_intrinsic,L,,acetylcholine,1,0,MBON,,0,0,,
10613,571,DM4_adPN,DM4_adPN_R,ALPN,cb_intrinsic,R,,acetylcholine,1,0,ALPN,,0,0,2,-0.5
10639,593,LoVC22,LoVC22_R,,visual_centrifugal,R,,dopamine,1,1,,,0,0,,
10653,607,VA5_lPN,VA5_lPN_L,ALPN,cb_intrinsic,L,,acetylcholine,1,0,ALPN,,0,0,1,0.5
10670,622,DM4_adPN,DM4_adPN_L,ALPN,cb_intrinsic,L,,acetylcholine,1,0,ALPN,,0,0,2,-0.5
10702,653,M_l2PNl20,M_l2PNl20_L,ALPN,cb_intrinsic,L,,acetylcholine,1,0,ALPN,,0,0,,
10704,655,MBON11,MBON11(y1pedc>a/B)_L,MBON,cb_intrinsic,L,,gaba,-1,0,MBON;home_readout,,0,0,,
10716,666,DC3_adPN,DC3_adPN_L,ALPN,cb_intrinsic,L,,acetylcholine,1,0,ALPN,,0,0,7,-1.5
10735,682,LoVC18,"LoVC18(PLP030,PLP031)_L",,visual_centrifugal,L,,dopamine,1,1,,,0,0,,
10736,683,VP2_adPN,VP2_adPN_L,ALPN,cb_intrinsic,L,,acetylcholine,1,0,ALPN,,0,0,12,1.5
10753,697,PPL201,PPL201_L,DAN,cb_intrinsic,L,,dopamine,1,1,DAN,,0,0,,
10756,700,VC2_lPN,VC2_lPN_R,ALPN,cb_intrinsic,R,,acetylcholine,1,0,ALPN,,0,0,6,0.5
10767,710,DL5_adPN,DL5_adPN_L,ALPN,cb_intrinsic,L,,acetylcholine,1,0,ALPN,,0,0,14,-1.5
10786,728,VC5_lvPN,VC5_lvPN_R,ALPN,cb_intrinsic,R,,acetylcholine,1,0,ALPN,,0,0,9,0.5
10804,745,MBON20,MBON20(y1y2)_R,MBON,cb_intrinsic,R,,gaba,-1,0,MBON,,0,0,,
