csr_edge_index,pre_body_id,post_body_id,kc_type,kc_family,channel,contacts,schema3_eligible,repair_gamma_eligible
1700107,11862,10704,KCab-s,ab,home,10,1,1
2340681,13173,11402,KCab-c,ab,home,8,1,1
2802170,14292,11402,KCg-m,gamma,home,24,1,1
2802179,14292,21242,KCg-m,gamma,away,8,1,1
2802407,14292,523060,KCg-m,gamma,away,13,1,1
3079220,15103,11402,KCg-m,gamma,home,33,1,1
3079229,15103,21242,KCg-m,gamma,away,11,1,1
3079454,15103,523060,KCg-m,gamma,away,12,1,1
3812071,17488,18713,KCa'b'-ap2,apbp,away,16,1,0
3812073,17488,19267,KCa'b'-ap2,apbp,away,9,1,0
3971204,18031,18713,KCa'b'-ap2,apbp,away,14,1,0
3971205,18031,19267,KCa'b'-ap2,apbp,away,9,1,0
4110157,18540,10704,KCg-s1,gamma,home,1,1,1
4110163,18540,11402,KCg-s1,gamma,home,80,1,1
4110193,18540,21242,KCg-s1,gamma,away,58,1,1
4110805,18540,523060,KCg-s1,gamma,away,75,1,1
4265028,19083,10704,KCg-m,gamma,home,20,1,1
4265048,19083,18713,KCg-m,gamma,away,20,1,1
4265049,19083,19267,KCg-m,gamma,away,10,1,1
4269793,19102,11402,KCg-d,gamma,home,25,1,1
4269804,19102,21242,KCg-d,gamma,away,11,1,1
4269953,19102,523060,KCg-d,gamma,away,18,1,1
4439787,19788,10704,KCg-d,gamma,home,11,1,1
4439804,19788,18713,KCg-d,gamma,away,22,1,1
4439805,19788,19267,KCg-d,gamma,away,16,1,1
4572005,20322,18713,KCa'b'-ap2,apbp,away,18,1,0
4572006,20322,19267,KCa'b'-ap2,apbp,away,9,1,0
4686998,20773,10704,KCg-m,gamma,home,1,1,1
4687002,20773,11402,KCg-m,gamma,home,13,1,1
4687014,20773,21242,KCg-m,gamma,away,10,1,1
4687213,20773,523060,KCg-m,gamma,away,12,1,1
4931280,21778,10704,KCg-s1,gamma,home,57,1,1
4931309,21778,18713,KCg-s1,gamma,away,79,1,1
4931311,21778,19267,KCg-s1,gamma,away,81,1,1
4955914,21879,11402,KCg-m,gamma,home,29,1,1
4955927,21879,21242,KCg-m,gamma,away,8,1,1
4956174,21879,523060,KCg-m,gamma,away,14,1,1
4990395,22031,11402,KCg-m,gamma,home,16,1,1
4990408,22031,21242,KCg-m,gamma,away,10,1,1
4990618,22031,523060,KCg-m,gamma,away,11,1,1
5111387,22533,11402,KCg-m,gamma,home,23,1,1
5111400,22533,21242,KCg-m,gamma,away,7,1,1
5111668,22533,523060,KCg-m,gamma,away,25,1,1
5217952,22995,11402,KCa'b'-ap2,apbp,home,1,1,1
5217959,22995,18713,KCa'b'-ap2,apbp,away,14,1,0
5217961,22995,19267,KCa'b'-ap2,apbp,away,9,1,0
5226222,23037,11402,KCab-s,ab,home,7,1,1
5252798,23166,11402,KCg-m,gamma,home,14,1,1
5252811,23166,21242,KCg-m,gamma,away,14,1,1
5253039,23166,523060,KCg-m,gamma,away,17,1,1
5473960,24146,10704,KCg-s2,gamma,home,29,1,1
5474001,24146,18713,KCg-s2,gamma,away,43,1,1
5474002,24146,19267,KCg-s2,gamma,away,42,1,1
5474434,24146,523060,KCg-s2,gamma,away,1,1,1
5488502,24204,10704,KCg-m,gamma,home,1,1,1
5488506,24204,11402,KCg-m,gamma,home,27,1,1
5488517,24204,21242,KCg-m,gamma,away,19,1,1
5488748,24204,523060,KCg-m,gamma,away,14,1,1
5597877,24695,11402,KCab-m,ab,home,10,1,1
5654217,24959,11402,KCg-m,gamma,home,32,1,1
5654228,24959,21242,KCg-m,gamma,away,14,1,1
5654493,24959,523060,KCg-m,gamma,away,13,1,1
5666638,25017,11402,KCg-m,gamma,home,21,1,1
5666650,25017,21242,KCg-m,gamma,away,8,1,1
5666892,25017,523060,KCg-m,gamma,away,15,1,1
5669372,25030,11402,KCg-s2,gamma,home,63,1,1
5669403,25030,21242,KCg-s2,gamma,away,30,1,1
5669789,25030,523060,KCg-s2,gamma,away,37,1,1
5794035,25631,18713,KCa'b'-ap1,apbp,away,11,1,0
5794036,25631,19267,KCa'b'-ap1,apbp,away,18,1,0
5794038,25631,21242,KCa'b'-ap1,apbp,away,2,1,0
5844511,25879,11402,KCab-m,ab,home,3,1,1
6029021,26792,11402,KCg-m,gamma,home,20,1,1
6029036,26792,21242,KCg-m,gamma,away,14,1,1
6029299,26792,523060,KCg-m,gamma,away,17,1,1
6171131,27583,11402,KCg-m,gamma,home,23,1,1
6171142,27583,21242,KCg-m,gamma,away,13,1,1
6171387,27583,523060,KCg-m,gamma,away,8,1,1
6291543,28196,11402,KCa'b'-ap1,apbp,home,1,1,1
6291554,28196,21242,KCa'b'-ap1,apbp,away,16,1,0
6291695,28196,523060,KCa'b'-ap1,apbp,away,18,1,0
6351420,28516,11402,KCa'b'-ap1,apbp,home,1,1,1
6351430,28516,21242,KCa'b'-ap1,apbp,away,27,1,0
6351574,28516,523060,KCa'b'-ap1,apbp,away,6,1,0
6376825,28631,11402,KCg-m,gamma,home,20,1,1
6376837,28631,21242,KCg-m,gamma,away,8,1,1
6377060,28631,523060,KCg-m,gamma,away,11,1,1
6413008,28848,10704,KCg-d,gamma,home,15,1,1
6413025,28848,18713,KCg-d,gamma,away,20,1,1
6413026,28848,19267,KCg-d,gamma,away,18,1,1
6528788,29471,11402,KCab-m,ab,home,7,1,1
6575919,29728,11402,KCg-m,gamma,home,22,1,1
6575929,29728,19267,KCg-m,gamma,away,1,1,1
6575930,29728,21242,KCg-m,gamma,away,15,1,1
6576175,29728,523060,KCg-m,gamma,away,16,1,1
6695605,30397,11402,KCg-d,gamma,home,21,1,1
6695619,30397,21242,KCg-d,gamma,away,14,1,1
